Date,Cases,t
2020/1/13,0,1
2020/1/14,0,2
2020/1/15,0,3
2020/1/16,1,4
2020/1/17,0,5
2020/1/18,0,6
2020/1/19,0,7
2020/1/20,0,8
2020/1/21,0,9
2020/1/22,0,10
2020/1/23,0,11
2020/1/24,1,12
2020/1/25,1,13
2020/1/26,1,14
2020/1/27,0,15
2020/1/28,3,16
2020/1/29,1,17
2020/1/30,5,18
2020/1/31,1,19
2020/2/1,1,20
2020/2/2,0,21
2020/2/3,0,22
2020/2/4,1,23
2020/2/5,2,24
2020/2/6,0,25
2020/2/7,0,26
2020/2/8,0,27
2020/2/9,0,28
2020/2/10,1,29
2020/2/11,2,30
2020/2/12,0,31
2020/2/13,4,32
2020/2/14,8,33
2020/2/15,12,34
2020/2/16,6,35
2020/2/17,6,36
2020/2/18,9,37
2020/2/19,9,38
2020/2/20,7,39
2020/2/21,14,40
2020/2/22,25,41
2020/2/23,11,42
2020/2/24,13,43
2020/2/25,11,44
2020/2/26,19,45
2020/2/27,24,46
2020/2/28,19,47
2020/2/29,9,48
2020/3/1,14,49
2020/3/2,17,50
2020/3/3,19,51
2020/3/4,34,52
2020/3/5,32,53
2020/3/6,56,54
2020/3/7,43,55
2020/3/8,34,56
2020/3/9,27,57
2020/3/10,61,58
2020/3/11,52,59
2020/3/12,54,60
2020/3/13,40,61
2020/3/14,55,62
2020/3/15,33,63
2020/3/16,16,64
2020/3/17,40,65
2020/3/18,45,66
2020/3/19,40,67
2020/3/20,49,68
2020/3/21,36,69
2020/3/22,45,70
2020/3/23,39,71
2020/3/24,72,72
2020/3/25,91,73
2020/3/26,93,74
2020/3/27,116,75
2020/3/28,196,76
2020/3/29,169,77
2020/3/30,72,78
2020/3/31,246,79
2020/4/1,266,80
2020/4/2,279,81
2020/4/3,342,82
2020/4/4,370,83
2020/4/5,355,84
2020/4/6,243,85
2020/4/7,367,86
2020/4/8,516,87
2020/4/9,580,88
2020/4/10,640,89
2020/4/11,663,90
2020/4/12,519,91
2020/4/13,321,92
2020/4/14,459,93
2020/4/15,551,94
2020/4/16,583,95
2020/4/17,567,96
2020/4/18,576,97
2020/4/19,385,98
2020/4/20,325,99
2020/4/21,388,100
2020/4/22,421,101
2020/4/23,424,102
2020/4/24,394,103
2020/4/25,322,104
2020/4/26,217,105
2020/4/27,172,106
2020/4/28,279,107
2020/4/29,227,108
2020/4/30,201,109
2020/5/1,268,110
2020/5/2,298,111
2020/5/3,203,112
2020/5/4,177,113
2020/5/5,120,114
2020/5/6,103,115
2020/5/7,94,116
2020/5/8,88,117
2020/5/9,115,118
2020/5/10,67,119
2020/5/11,45,120
2020/5/12,77,121
2020/5/13,55,122
2020/5/14,100,123
2020/5/15,50,124
2020/5/16,55,125
2020/5/17,26,126
2020/5/18,31,127
2020/5/19,26,128
2020/5/20,37,129
2020/5/21,40,130
2020/5/22,24,131
2020/5/23,26,132
2020/5/24,40,133
2020/5/25,20,134
2020/5/26,24,135
2020/5/27,33,136
2020/5/28,61,137
2020/5/29,63,138
2020/5/30,41,139
2020/5/31,32,140
2020/6/1,36,141
2020/6/2,50,142
2020/6/3,26,143
2020/6/4,44,144
2020/6/5,39,145
2020/6/6,47,146
2020/6/7,32,147
2020/6/8,21,148
2020/6/9,30,149
2020/6/10,36,150
2020/6/11,41,151
2020/6/12,56,152
2020/6/13,42,153
2020/6/14,61,154
2020/6/15,60,155
2020/6/16,42,156
2020/6/17,43,157
2020/6/18,67,158
2020/6/19,55,159
2020/6/20,64,160
2020/6/21,48,161
2020/6/22,40,162
2020/6/23,53,163
2020/6/24,88,164
2020/6/25,80,165
2020/6/26,98,166
2020/6/27,89,167
2020/6/28,111,168
2020/6/29,110,169
2020/6/30,132,170
2020/7/1,126,171
2020/7/2,193,172
2020/7/3,249,173
2020/7/4,269,174
2020/7/5,195,175
2020/7/6,174,176
2020/7/7,202,177
2020/7/8,206,178
2020/7/9,350,179
2020/7/10,418,180
2020/7/11,375,181
2020/7/12,388,182
2020/7/13,246,183
2020/7/14,328,184
2020/7/15,436,185
2020/7/16,621,186
2020/7/17,589,187
2020/7/18,648,188
2020/7/19,503,189
2020/7/20,409,190
2020/7/21,616,191
2020/7/22,786,192
2020/7/23,966,193
2020/7/24,769,194
2020/7/25,779,195
2020/7/26,855,196
2020/7/27,573,197
2020/7/28,961,198
2020/7/29,1254,199
2020/7/30,1307,200
2020/7/31,1588,201
2020/8/1,1539,202
2020/8/2,1311,203
2020/8/3,953,204
2020/8/4,1244,205
2020/8/5,1344,206
2020/8/6,1470,207
2020/8/7,1606,208
2020/8/8,1532,209
2020/8/9,1468,210
2020/8/10,822,211
2020/8/11,691,212
2020/8/12,971,213
2020/8/13,1172,214
2020/8/14,1350,215
2020/8/15,1238,216
2020/8/16,1000,217
2020/8/17,641,218
2020/8/18,896,219
2020/8/19,1079,220
2020/8/20,1177,221
2020/8/21,1040,222
2020/8/22,980,223
2020/8/23,742,224
2020/8/24,492,225
2020/8/25,703,226
2020/8/26,891,227
2020/8/27,859,228
2020/8/28,871,229
2020/8/29,844,230
2020/8/30,597,231
2020/8/31,427,232
2020/9/1,635,233
2020/9/2,571,234
2020/9/3,647,235
2020/9/4,586,236
2020/9/5,600,237
2020/9/6,446,238
2020/9/7,280,239
2020/9/8,511,240
2020/9/9,509,241
2020/9/10,706,242
2020/9/11,633,243
2020/9/12,634,244
2020/9/13,444,245
2020/9/14,262,246
2020/9/15,520,247
2020/9/16,542,248
2020/9/17,485,249
2020/9/18,561,250
2020/9/19,597,251
2020/9/20,471,252
2020/9/21,307,253
2020/9/22,315,254
2020/9/23,227,255
2020/9/24,473,256
2020/9/25,568,257
2020/9/26,635,258
2020/9/27,477,259
2020/9/28,296,260
2020/9/29,524,261
2020/9/30,569,262
2020/10/1,618,263
2020/10/2,538,264
2020/10/3,557,265
2020/10/4,398,266
2020/10/5,268,267
2020/10/6,490,268
2020/10/7,505,269
2020/10/8,618,270
2020/10/9,594,271
2020/10/10,663,272
2020/10/11,436,273
2020/10/12,275,274
2020/10/13,491,275
2020/10/14,551,276
2020/10/15,704,277
2020/10/16,631,278
2020/10/17,609,279
2020/10/18,422,280
2020/10/19,305,281
2020/10/20,474,282
2020/10/21,620,283
2020/10/22,602,284
2020/10/23,750,285
2020/10/24,708,286
2020/10/25,488,287
2020/10/26,405,288
2020/10/27,643,289
2020/10/28,725,290
2020/10/29,802,291
2020/10/30,772,292
2020/10/31,866,293
2020/11/1,604,294
2020/11/2,480,295
2020/11/3,861,296
2020/11/4,607,297
2020/11/5,1045,298
2020/11/6,1137,299
2020/11/7,1292,300
2020/11/8,945,301
2020/11/9,770,302
2020/11/10,1279,303
2020/11/11,1535,304
2020/11/12,1633,305
2020/11/13,1693,306
2020/11/14,1725,307
2020/11/15,1426,308
2020/11/16,947,309
2020/11/17,1694,310
2020/11/18,2160,311
2020/11/19,2371,312
2020/11/20,2418,313
2020/11/21,2586,314
2020/11/22,2143,315
2020/11/23,1512,316
2020/11/24,1212,317
2020/11/25,1922,318
2020/11/26,2499,319
2020/11/27,2507,320
2020/11/28,2674,321
2020/11/29,2051,322
2020/11/30,1425,323
2020/12/1,2011,324
2020/12/2,2417,325
2020/12/3,2512,326
2020/12/4,2434,327
2020/12/5,2513,328
2020/12/6,2022,329
2020/12/7,1512,330
2020/12/8,2158,331
2020/12/9,2802,332
2020/12/10,2961,333
2020/12/11,2801,334
2020/12/12,3023,335
2020/12/13,2379,336
2020/12/14,1650,337
2020/12/15,2424,338
2020/12/16,2977,339
2020/12/17,3212,340
2020/12/18,2835,341
2020/12/19,3050,342
2020/12/20,2392,343
2020/12/21,1808,344
2020/12/22,2672,345
2020/12/23,3262,346
2020/12/24,3730,347
2020/12/25,3841,348
2020/12/26,3879,349
2020/12/27,2928,350
2020/12/28,2387,351
2020/12/29,3617,352
2020/12/30,3863,353
2020/12/31,4524,354
2021/1/1,3249,355
2021/1/2,3055,356
2021/1/3,3136,357
2021/1/4,3333,358
2021/1/5,4936,359
2021/1/6,6044,360
2021/1/7,7641,361
2021/1/8,7945,362
2021/1/9,7823,363
2021/1/10,6112,364
2021/1/11,4895,365
2021/1/12,4594,366
2021/1/13,5904,367
2021/1/14,6660,368
2021/1/15,7161,369
2021/1/16,7028,370
2021/1/17,5766,371
2021/1/18,4937,372
2021/1/19,5325,373
2021/1/20,5544,374
2021/1/21,5663,375
2021/1/22,5068,376
2021/1/23,4713,377
2021/1/24,3996,378
2021/1/25,2752,379
2021/1/26,3861,380
2021/1/27,3967,381
2021/1/28,4127,382
2021/1/29,3525,383
2021/1/30,3341,384
2021/1/31,2676,385
2021/2/1,1781,386
2021/2/2,2325,387
2021/2/3,2634,388
2021/2/4,2575,389
2021/2/5,2369,390
2021/2/6,2274,391
2021/2/7,1627,392
2021/2/8,1217,393
2021/2/9,1567,394
2021/2/10,1870,395
2021/2/11,1699,396
2021/2/12,1297,397
2021/2/13,1357,398
2021/2/14,1362,399
2021/2/15,959,400
2021/2/16,1307,401
2021/2/17,1445,402
2021/2/18,1538,403
2021/2/19,1296,404
2021/2/20,1229,405
2021/2/21,1028,406
2021/2/22,741,407
2021/2/23,1078,408
2021/2/24,916,409
2021/2/25,1070,410
2021/2/26,1054,411
2021/2/27,1215,412
2021/2/28,994,413
2021/3/1,683,414
2021/3/2,888,415
2021/3/3,1238,416
2021/3/4,1169,417
2021/3/5,1145,418
2021/3/6,1044,419
2021/3/7,1064,420
2021/3/8,598,421
2021/3/9,1125,422
2021/3/10,1309,423
2021/3/11,1314,424
2021/3/12,1270,425
2021/3/13,1316,426
2021/3/14,981,427
2021/3/15,688,428
2021/3/16,1132,429
2021/3/17,1519,430
2021/3/18,1487,431
2021/3/19,1456,432
2021/3/20,1516,433
2021/3/21,1110,434
2021/3/22,810,435
2021/3/23,1486,436
2021/3/24,1922,437
2021/3/25,1914,438
2021/3/26,2030,439
2021/3/27,2065,440
2021/3/28,1762,441
2021/3/29,1338,442
2021/3/30,2077,443
2021/3/31,2830,444
2021/4/1,2596,445
2021/4/2,2738,446
2021/4/3,2754,447
2021/4/4,2458,448
2021/4/5,1552,449
2021/4/6,2651,450
2021/4/7,3457,451
2021/4/8,3451,452
2021/4/9,3514,453
2021/4/10,3746,454
2021/4/11,2830,455
2021/4/12,2082,456
2021/4/13,3438,457
2021/4/14,4298,458
2021/4/15,4564,459
2021/4/16,4517,460
2021/4/17,4780,461
2021/4/18,4081,462
2021/4/19,2901,463
2021/4/20,4338,464
2021/4/21,5270,465
2021/4/22,5462,466
2021/4/23,5114,467
2021/4/24,5589,468
2021/4/25,4601,469
2021/4/26,3303,470
2021/4/27,4959,471
2021/4/28,5782,472
2021/4/29,5890,473
2021/4/30,4684,474
2021/5/1,5959,475
2021/5/2,5870,476
2021/5/3,4463,477
2021/5/4,4180,478
2021/5/5,4045,479
2021/5/6,4347,480
2021/5/7,6043,481
2021/5/8,7224,482
2021/5/9,6488,483
2021/5/10,4924,484
2021/5/11,6241,485
2021/5/12,7056,486
2021/5/13,6861,487
2021/5/14,6268,488
2021/5/15,6412,489
2021/5/16,5246,490
2021/5/17,3692,491
2021/5/18,5223,492
2021/5/19,5809,493
2021/5/20,5710,494
2021/5/21,5244,495
2021/5/22,5036,496
2021/5/23,4025,497
2021/5/24,2714,498
2021/5/25,3895,499
2021/5/26,4524,500
2021/5/27,4119,501
2021/5/28,3705,502
2021/5/29,3588,503
2021/5/30,2867,504
2021/5/31,1787,505
2021/6/1,2637,506
2021/6/2,3032,507
2021/6/3,2827,508
2021/6/4,2578,509
2021/6/5,2650,510
2021/6/6,2018,511
2021/6/7,1275,512
2021/6/8,1882,513
2021/6/9,2223,514
2021/6/10,2040,515
2021/6/11,1933,516
2021/6/12,1939,517
2021/6/13,1380,518
2021/6/14,927,519
2021/6/15,1417,520
2021/6/16,1698,521
2021/6/17,1542,522
2021/6/18,1617,523
2021/6/19,1508,524
2021/6/20,1302,525
2021/6/21,863,526
2021/6/22,1432,527
2021/6/23,1775,528
2021/6/24,1666,529
2021/6/25,1707,530
2021/6/26,1618,531
2021/6/27,1278,532
2021/6/28,988,533
2021/6/29,1377,534
2021/6/30,1810,535
2021/7/1,1747,536
2021/7/2,1768,537
2021/7/3,1862,538
2021/7/4,1480,539
2021/7/5,1019,540
2021/7/6,1659,541
2021/7/7,2178,542
2021/7/8,2242,543
2021/7/9,2255,544
2021/7/10,2453,545
2021/7/11,2019,546
2021/7/12,1495,547
2021/7/13,2375,548
2021/7/14,3172,549
2021/7/15,3410,550
2021/7/16,3425,551
2021/7/17,3872,552
2021/7/18,3092,553
2021/7/19,2327,554
2021/7/20,3749,555
2021/7/21,4938,556
2021/7/22,5380,557
2021/7/23,4207,558
2021/7/24,3596,559
2021/7/25,5027,560
2021/7/26,4676,561
2021/7/27,7660,562
2021/7/28,9625,563
2021/7/29,10744,564
2021/7/30,10816,565
2021/7/31,12396,566
2021/8/1,10241,567
2021/8/2,8405,568
2021/8/3,12138,569
2021/8/4,14311,570
2021/8/5,15318,571
2021/8/6,15781,572
2021/8/7,15828,573
2021/8/8,14536,574
2021/8/9,12132,575
2021/8/10,10722,576
2021/8/11,16003,577
2021/8/12,19048,578
2021/8/13,20531,579
2021/8/14,20231,580
2021/8/15,17902,581
2021/8/16,15004,582
2021/8/17,20106,583
2021/8/18,24121,584
2021/8/19,25348,585
2021/8/20,25978,586
2021/8/21,25705,587
2021/8/22,22247,588
2021/8/23,16927,589
2021/8/24,21705,590
2021/8/25,24440,591
2021/8/26,24957,592
2021/8/27,24348,593
2021/8/28,22765,594
2021/8/29,19315,595
2021/8/30,13679,596
2021/8/31,17713,597
2021/9/1,20022,598
2021/9/2,18203,599
2021/9/3,16696,600
2021/9/4,16007,601
2021/9/5,12866,602
